UID,title,speakers,presentation_id
W1501,Practical Applications of NLP for Clinical Documentation,Tanuj Gupta,38929881
W1502,Computational Language Analysis: Towards Improved Psychotherapy and Conversational AI,Adam Miner,38929882
W1503,Learning from listening: Patient-Provider Communication Research and Practice,Judy Chang,38929883
W1504,NLPMC,Steven Bedrick,38929884
W1505,AI-powered (chat-based) best healtchare for everyone,Anitha Kannan,38929885
3,Heart Failure Education of African American and Hispanic/Latino Patients: Data Collection and Analysis,Itika Gupta,38929886
5,Towards an Ontology-based Medication Conversational Agent for PrEP and PEP,Muhammad (Tuan) Amith,38929887
6,Generating Medical Reports from Patient-Doctor Conversations Using Sequence-to-Sequence Models,Seppo Enarvi,38929888
7,Studying Challenges in Medical Conversation with Structured Annotation,Nan Wang,38929889
11,Methods for Extracting Information from Messages from Primary Care Providers to Specialists,Xiyu Ding,38929890
12,Robust Prediction of Punctuation and Truecasing for Medical ASR,Monica Sunkara,38929891
14,On the Utility of Audiovisual Dialog Technologies and Signal Analytics for Real-time Remote Monitoring of Depression Biomarkers,Oliver Roesler,38929892
18,Towards Understanding ASR Error Correction for Medical Conversations,Anirudh Mani,38929893
19,Topic-Based Measures of Conversation for Detecting Mild CognitiveImpairment,Liu Chen,38929894
W1506,Opening,Parminder Bhatia,38929895
W1507,Closing,Parminder Bhatia,38929896
W1508,Dragon Ambient eXperience,Guido Gallopyn,38929897
W1509,Medical Conversations: Challenges and Future,Kass-hout Taha,38929898
